Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Саченко,Орест,Романович,Чоловік,1987-12-05,Електрик,хутір Перещепине,"сквер Верф’яний, буд. 105 кв. 39, Амвросіївка, 98043",083 666-42-97,sabramchuk@example.com
Аверченко,Юхим,Юрійович,Чоловік,1945-10-03,Бібліотекар,хутір Березань ,"вулиця Лінія 53-тя, буд. 78 кв. 913, Армянськ, 56469",+380 14 523-14-32,syrotenkoamvrosii@example.net
Микитюк,Гаврило,Олексійович,Чоловік,1947-12-31,Ювелір,село Довжанськ,"сквер Каспійський, буд. 55, Бахмач, 42111",+380 13 496-93-41,hennadiialekseienko@example.com
Бакуменко,Сергій,Богданович,Чоловік,1955-02-10,Бібліотекар,село Прип'ять ,"проспект Академіка Вавилова, буд. 82, Луцьк, 37151",+380 37 332 21 38,rostyslav05@example.org
Бандера,Леон,Олексійович,Чоловік,1945-09-16,Палеонтолог,селище Угнів,"шосе Вапняний 2-й, буд. 63 кв. 581, Яготин, 64423",+380 40 923 39 93,viacheslavromanchuk@example.com
Данильчук,Варфоломій,Дмитрович,Чоловік,2002-06-15,Різноробочий,селище Мостиська,"проспект Кустанайська, буд. 3, Лиман , 64654",+380 02 913 78 97,havrylo11@example.org
Артимович,Яків,Дмитрович,Чоловік,1979-11-30,Кінокритик,село Соледар,"проспект Зоопаркова, буд. 0, Нове Давидково, 99252",+380 80 302 94 71,clytvynenko@example.com
Рябченко,Юхим,Дмитрович,Чоловік,1970-01-17,Драматург,село Ічня,"провулок Луценка Івана, буд. 304 кв. 32, Іршава, 13173",893-46-25,rozaliia09@example.net
Масоха,Феофан,Григорович,Чоловік,1963-10-26,Продюсер,місто Волноваха,"парк Василя Кандинського 2-й, буд. 5, Овруч, 77684",+380 60 447-64-60,orestartymovych@example.org
Іванченко,Володимир,Богданович,Чоловік,1939-12-24,Клоун,хутір Скадовськ,"провулок Восьмого березня 8-й, буд. 727 кв. 46, Нікополь, 10451",+380 53 560-46-02,lbaran@example.net
Заєць,Єлисей,Вікторович,Чоловік,1946-09-29,Модельєр,село Перемишляни,"набережна Бодаревського, буд. 3 кв. 747, Вовчанськ, 71466",229 61 85,qverkhola@example.com
Терещук,Ярема,Вікторович,Чоловік,1941-10-05,Ріелтор,село Горохів,"сквер Капітана Гаврікова, буд. 145 кв. 579, Лубни, 77010",+380 56 401 18 90,criabchenko@example.com
Хорішко,Віктор,Федорович,Чоловік,1964-03-20,Сценарист,село Лозова ,"проспект Сьома, буд. 94 кв. 455, Бахмут, 81235",078 902 91 83,derkachhryhorii@example.com
Токар,Франц,Федорович,Чоловік,1975-11-05,Ді-джей,село Теплодар,"набережна Північний, буд. 3 кв. 299, Київ, 96883",+380 60 392 24 76,bsimashkevych@example.net
Пилипенко,Георгій,Володимирович,Чоловік,1995-07-06,Клоун,село Малин,"площа Парусна, буд. 3, Надвірна, 76069",+380 (15) 468-29-80,halynatovstukha@example.net
Вдовенко,Богдан,Юрійович,Чоловік,1993-02-27,Громадський діяч,село Горохів,"площа Український 1-й, буд. 013 кв. 8, Чугуїв, 68852",860 44 44,maksym45@example.org
Гаєвський,Феофан,Романович,Чоловік,1983-08-17,Економіст,село Одеса,"проспект Дніпровська, буд. 5 кв. 34, Кам'янець-Подільський, 97649",+380 20 303-14-90,mykolai71@example.net
Литвин,Тимофій,Васильович,Чоловік,1968-05-29,Правник,хутір Ананьїв,"проспект Поштовий, буд. 389, Надвірна, 12191",373 62 97,hlibudovenko@example.com
Фартушняк,Руслан,Андрійович,Чоловік,2001-01-09,Бухгалтер,місто Судак ,"набережна Утьосова, буд. 505 кв. 697, Баранівка, 60737",+380 80 172-80-91,solomiiadeisun@example.net
Твердохліб,Франц,Михайлович,Чоловік,1986-11-09,Сценарист,місто Сорокине,"шосе Траса Здоров'я, буд. 48, Олександрія, 16160",806-39-88,panteleimonisaienko@example.com
Шведченко,Адам,Григорович,Чоловік,1986-08-17,Археолог,місто Кривий Ріг,"провулок Сурикова 2-й, буд. 096 кв. 9, Коростень, 28176",+380 13 974 48 62,tpushkar@example.org
Шовкопляс,Мирон,Романович,Чоловік,1954-12-20,Сценарист,селище Тисмениця,"узвіз 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 54 кв. 894, Нововолинськ, 73892",+380 42 881-98-11,spashutsuliak@example.net
Шило,Вʼячеслав,Іванович,Чоловік,1966-07-11,Мистецтвознавець,хутір Вознесенівка,"набережна Абрикосова, буд. 5, Вуглегірськ, 79331",+380 (80) 103-42-51,danna33@example.net
Артеменко,Святослав,Юрійович,Чоловік,1981-12-05,Юрист,село Вознесенівка,"набережна Ползунова 1-й, буд. 98 кв. 1, Ладижин, 79332",582-54-74,tetiana07@example.net
Алексійчук,Богуслав,Андрійович,Чоловік,1955-01-24,Електрик,місто Херсон,"парк Брестська, буд. 063 кв. 55, Теплодар, 72641",+380 15 150-04-03,hodunokpetro@example.org
Козаченко,Орест,Сергійович,Чоловік,1948-05-14,Антрополог,селище Перещепине,"провулок Шолохова, буд. 876 кв. 275, Копичинці, 78035",+380 (89) 502-56-54,kyrylenkoada@example.net
Жук,Олег,Олегович,Чоловік,1948-08-31,Намотувальник,село Нетішин,"провулок Виїзна, буд. 38 кв. 718, Севастополь, 08725",440 74 51,qshapoval@example.com
Шовкопляс,Станіслав,Романович,Чоловік,1950-12-11,Інженер,село Дубровиця,"узвіз 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 40 кв. 07, Соледар, 18762",784-17-48,milenadzhus@example.com
Бараник,Єфрем,Юрійович,Чоловік,1939-02-28,Дантист,селище Селидове,"провулок Училищна, буд. 65, Болехів, 02562",090-62-54,arsentokar@example.org
Онищенко,Орест,Федорович,Чоловік,1987-03-14,Менеджер,селище Чигирин,"парк Магнітогорський 2-й, буд. 0 кв. 95, Василівка , 13423",+380 69 391 45 16,tzabarnyi@example.org
Карпа,Костянтин,Петрович,Чоловік,1973-10-19,Маркетолог,місто Олександрія,"вулиця Крижанівський, буд. 6 кв. 83, Стрий, 08419",+380 59 221-67-62,leonidartiushenko@example.com
Лемешко,Антон,Володимирович,Чоловік,1941-07-18,Палеонтолог,хутір Андрушівка,"площа Пляжна, буд. 72 кв. 9, Лутугине, 77514",+380 (82) 186-98-01,ielyseishakhrai@example.net
Голобородько,Трохим,Іванович,Чоловік,1979-09-24,Візажист,село Покровськ,"площа Сегедська, буд. 09, Дрогобич, 82623",961 30 55,ihor87@example.org
Теліженко,Прохір,Іванович,Чоловік,1993-02-20,Сценарист,селище Докучаєвськ,"парк Дальній, буд. 11, Борислав, 17482",749-64-16,liurchenko@example.net
Алексюк,Руслан,Юрійович,Чоловік,1980-08-16,Намотувальник,селище Заліщики,"набережна Одеса-Головна, буд. 305 кв. 70, Ровеньки, 02366",+380 00 977-38-58,hromanenko@example.net
Бабиченко,Сергій,Богданович,Чоловік,1961-03-04,Фермер,хутір Білогірськ,"набережна Березовий, буд. 252 кв. 37, Коломия, 09800",+380 45 683-41-14,ostapdutka@example.com
Лесик,Тарас,Андрійович,Чоловік,1998-06-19,Мовознавець,селище Антрацит ,"парк Таїрова, буд. 397 кв. 9, Новогродівка, 16233",+380 (32) 411-33-48,makar93@example.com
Семенченко,Олесь,Степанович,Чоловік,1991-07-28,Сценарист,село Болехів,"шосе Левкоєва, буд. 41, Дубляни, 95595",040 037-52-73,vzatovkaniuk@example.net
Негода,Тарас,Романович,Чоловік,1954-10-01,Геолог,селище Васильків,"сквер Павлодарська, буд. 57, Хмельницький, 73216",+380 67 602-87-06,zhurbazakhar@example.net
Забашта,Семен,Дмитрович,Чоловік,2000-04-17,Кур'єр,селище Дунаївці,"шосе Сумський, буд. 6, Пирятин, 62848",+380 18 494-03-50,tstets@example.org
Цибуленко,Лукʼян,Олексійович,Чоловік,1965-03-26,Електротехнік,місто Ржищів,"проспект Леонова, буд. 61 кв. 2, Ходорів, 19804",+380 40 156-97-27,zievtushenko@example.org
Адаменко,Адам,Андрійович,Чоловік,1950-10-31,Локсмайстер,хутір Переяслав,"набережна 3-тя Суворовська, буд. 938, Косів, 80628",+380 60 279-09-03,roman99@example.net
Проценко,Володимир,Григорович,Чоловік,2001-03-31,Гірник,селище Чорноморськ,"парк Сирітський, буд. 670, Інкерман, 37563",191-30-63,hannahuz@example.net
Остапчук,Олесь,Богданович,Чоловік,1941-09-14,Астроном,селище Хмельницький,"узвіз Заньковецької, буд. 249, Малин, 38826",341-83-50,boryslav09@example.net
Ейбоженко,Богодар,Богданович,Чоловік,1967-09-19,Електротехнік,село Іршава,"сквер Виноградна 1-ша, буд. 56, Білицьке, 80456",+380 85 579-73-46,iarema06@example.com
Жученко,Семен,Андрійович,Чоловік,2004-09-12,Візажист,місто Кам'янка-Дніпровська,"набережна Горбиста, буд. 4, Дубно, 31252",057 057 55 78,terezaisaievych@example.com
Бабенко,Святослав,Богданович,Чоловік,1988-11-13,Вчитель,хутір Бар,"набережна Об'їзна дорога, буд. 550, Любомль, 90136",072 123 04 89,shamraimartyn@example.org
Василенко,Венедикт,Сергійович,Чоловік,1953-03-13,Дизайнер,хутір Кам'янець-Подільський,"парк Лузанівська, буд. 99, Хмільник, 79765",+380 37 464 82 05,dankivolena@example.com
Голобородько,Семен,Володимирович,Чоловік,1978-05-17,Петрограф,селище Тараща,"узвіз Товарний, буд. 6, Мостиська, 45068",098 460 53 91,bohuslava04@example.org
Романчук,Борис,Богданович,Чоловік,1981-06-17,Піаніст,селище Торецьк,"площа Торгова, буд. 222 кв. 8, Володимир-Волинський, 58214",004 060-40-88,avhustynkaras@example.net
Терещук,Алевтин,Олегович,Чоловік,1978-05-19,Модельєр,місто Сміла,"вулиця Юннатів 1-й, буд. 529 кв. 88, Тараща, 76011",+380 97 177 66 00,mazepaboleslav@example.net
Дергач,Григорій,Григорович,Чоловік,1961-06-01,Флорист,село Судова Вишня,"сквер Чорноморський 2-й, буд. 706 кв. 26, Зміїв, 24640",+380 62 206 82 13,petroirvanets@example.net
Ярош,Стефан,Григорович,Чоловік,2005-11-03,Хореограф,селище Ужгород,"проспект Архітектурна, буд. 177, Гнівань, 59846",698 73 54,qtalan@example.com
Чаленко,Веніямин,Сергійович,Чоловік,2003-04-19,Ботанік,селище Ківерці,"парк Прохоровський, буд. 1 кв. 7, Горішні Плавні, 99061",774-77-81,vdovychenkoiukhym@example.net
Вишиваний,Тимофій,Олегович,Чоловік,1985-04-25,Палеонтолог,селище Яремче,"шосе Головна, буд. 15, Овруч, 81662",038 958 72 69,msirchenko@example.net
Гаврилишин,Олександр,Васильович,Чоловік,1977-01-29,Різноробочий,селище Міусинськ,"провулок Героїв оборони Одеси, буд. 56 кв. 2, Галич, 59046",090 62 30,zarudnyivolodymyra@example.org
Єсипенко,Онисим,Юрійович,Чоловік,1995-08-26,Антрополог,хутір Червоноград,"шосе 2-га Суворовська, буд. 35, Біла Церква, 79507",+380 55 616 15 12,hannaderehus@example.net
Рева,Герман,Іванович,Чоловік,1993-12-15,Мовознавець,хутір Старокостянтинів,"вулиця Привокзальний, буд. 1 кв. 17, Гнівань, 04683",010 631 80 05,qsatsiuk@example.com
Сірко,Ігор,Григорович,Чоловік,1994-07-16,Бухгалтер,хутір Білогірськ,"проспект Уральська, буд. 7 кв. 41, Дрогобич, 68402",996 74 13,oparasiuk@example.org
Андрійчук,Микита,Юрійович,Чоловік,1966-10-20,Хімік,хутір Канів,"площа Амундсена, 1-й, буд. 56, Гірник , 75188",+380 15 170 61 82,ielysavetamiroshnychenko@example.org
Павличенко,Феофан,Романович,Чоловік,2002-11-25,Режисер,село Копичинці,"узвіз Компасний, буд. 6, Алмазна, 37191",+380 58 930 02 86,amvrosii32@example.com
Масляк,Ігнат,Олександрович,Чоловік,1999-11-08,Географ,село Христинівка,"площа Кутова, буд. 79, Острог, 75249",675 30 46,rubetsmykolai@example.net
Вітер,Кирило,Дмитрович,Чоловік,1966-03-22,Фольклорист,село Пологи ,"сквер Одарія, буд. 10, Лисичанськ, 32252",009 999-09-14,andriiovychspas@example.org
Бабич,Симон,Сергійович,Чоловік,1979-05-09,Дипломат,селище Ковель,"проспект Колонтаївська, буд. 8 кв. 8, Волочиськ, 41923",+380 07 747 23 70,stanislavdzhus@example.org
Дзюба,Аврелій,Олегович,Чоловік,1984-09-10,Конструктор,селище Ясинувата,"вулиця Мостовий, буд. 8, Вознесенівка, 07914",+380 81 307-21-93,andriichukdanna@example.org
Алексеєнко,Ілля,Олегович,Чоловік,1970-08-06,Хімік,хутір Сколе,"набережна Морська, буд. 361, Дергачі, 96396",+380 97 803-53-21,iaroslavorlyk@example.org
Матяш,Веніямин,Юрійович,Чоловік,1953-07-23,Флорист,селище Рудки,"набережна Гілельса, буд. 79 кв. 75, Кодима, 26720",074 909 03 25,kozachenkoanton@example.net
Жарко,Йосип,Богданович,Чоловік,1998-07-21,Сценарист,хутір Христинівка,"сквер Макаренка, буд. 7, Берислав, 19713",097 212-91-31,iarema36@example.org
Чекалюк,Франц,Олексійович,Чоловік,1978-07-21,Пекар,селище Алмазна,"сквер Дачний 1-й, буд. 5, Миколаїв, 10768",+380 29 583-37-09,siurchenko@example.net
Кальченко,Венедикт,Олександрович,Чоловік,1947-07-29,Пекар,селище Ізюм,"провулок Короткий, буд. 972 кв. 70, Щолкіне, 52794",009 589 78 80,mpiatachenko@example.org
Штокало,Демид,Олександрович,Чоловік,1945-05-15,Візажист,селище Миргород,"проспект Басейна, буд. 4 кв. 8, Камінь-Каширський, 56655",039 432-57-31,pustovitbohuslav@example.org
Юхименко,Альберт,Олексійович,Чоловік,1985-08-09,Паблік рилейшнз,селище Харків,"вулиця Воронезька, буд. 757 кв. 621, Ужгород, 65703",+380 (48) 387-11-39,iryna66@example.net
Вернидуб,Мирон,Михайлович,Чоловік,1973-06-07,Громадський діяч,селище Мала Виска,"набережна Степний 2-й, буд. 11, Болехів, 35161",669 17 21,alevtyn68@example.org
Скирда,Зорян,Вікторович,Чоловік,1962-06-18,Нотаріус,село Збараж,"узвіз Чорноморський 6-й, буд. 898, Івано-Франківськ, 69087",085 406 90 50,jbebeshko@example.net
Засенко,Валентин,Олексійович,Чоловік,1989-01-25,Адвокат,селище Городище ,"проспект Красносільська, буд. 445, Глобине, 22599",+380 93 801-77-15,edyta47@example.org
Тарасенко,Пилип,Григорович,Чоловік,1995-05-08,Мистецтвознавець,селище Зоринськ,"площа Шкіперська, буд. 8, Миронівка, 87518",478 23 85,jshakhrai@example.net
Абрамчук,Левко,Володимирович,Чоловік,2008-06-26,Клоун,місто Алупка,"узвіз Сумський, буд. 67 кв. 52, Мерефа, 35101",+380 95 800-23-08,korsunavrelii@example.org
Деревʼянко,Леопольд,Олегович,Чоловік,1979-06-23,Модель,село Покров,"вулиця Мазепи Івана, буд. 1 кв. 648, Великі Мости, 94251",038 640-05-66,kyrylenkoada@example.net
Журавель,Леонід,Федорович,Чоловік,1951-09-07,Письменник,місто Бережани,"узвіз Балтський 3-й, буд. 1 кв. 8, Лисичанськ, 37402",+380 (64) 885-45-20,makarvenhrynovych@example.org
Гаєвський,Тарас,Юрійович,Чоловік,1940-01-07,Співак,село Баштанка,"парк Вапняний 3-й, буд. 775 кв. 1, Баштанка, 39417",+380 (52) 743-13-25,bohdankorbut@example.net
Деркач,Устим,Олексійович,Чоловік,1960-01-21,Письменник,хутір Хмільник,"вулиця Садовського, буд. 2 кв. 401, Кролевець, 34469",620-26-96,uhohol@example.org
Забарний,Олександр,Вікторович,Чоловік,1978-07-28,Мінералог,хутір Буча,"вулиця Князівський, буд. 05 кв. 069, Верхівцеве, 76690",012 705-68-10,holoborodkorostyslav@example.com
Рябовіл,Захар,Олександрович,Чоловік,1971-01-18,Державний службовець,хутір Луганськ,"проспект Яші Гордієнка, буд. 410 кв. 325, Чистякове, 40751",051 570 35 33,tereza93@example.org
Фоменко,Святослав,Олександрович,Чоловік,1999-07-16,Круп'є,хутір Болехів,"набережна Сибірська, буд. 609, Кам'янське, 19533",010 832 84 32,pbaran@example.org
Захарченко,Спас,Сергійович,Чоловік,1975-08-28,Пекар,селище Балта,"проспект 7-ма Суворовська, буд. 080, Вишгород, 95500",616 19 04,aaron03@example.net
Рябець,Теодор,Юрійович,Чоловік,1989-06-07,Продюсер,місто Бобровиця,"парк Бреуса, буд. 59, Борислав, 51515",072 680 46 35,onysym88@example.net
Іщенко,Василь,Федорович,Чоловік,1967-08-08,Водій,селище Кременчук,"набережна Мала Садова, буд. 423 кв. 89, Новояворівськ, 23192",036 025-01-90,makohonadam@example.net
Байрак,Остап,Федорович,Чоловік,1940-07-12,Бухгалтер,село Нововолинськ,"проспект Локальна, буд. 2 кв. 3, Андрушівка, 93653",069 452-54-34,maksymaleksiichuk@example.net
Перепелиця,Альберт,Володимирович,Чоловік,1951-07-16,Ґрунтознавець,місто Тисмениця,"узвіз Марії Демченко 2-й, буд. 39 кв. 7, Новгород-Сіверський, 71188",060 654-33-37,venhrynovychbohuslav@example.net
Скирда,Леопольд,Олегович,Чоловік,1972-10-25,Кіноактор,хутір Путивль,"шосе Студентський 5-й, буд. 9 кв. 49, Лозова , 50438",+380 67 947 87 36,feofan49@example.com
Іваничук,Герман,Григорович,Чоловік,1982-02-26,Стиліст,селище Путивль,"провулок Уманська, буд. 44 кв. 4, Сарни, 42973",+380 34 905 36 29,panteleimonieresko@example.com
Левченко,Пармен,Петрович,Чоловік,1964-10-25,Актор,місто Кременець,"набережна Лиманна, буд. 6 кв. 822, Щолкіне, 26745",063 340 75 42,ivandashkevych@example.net
Медведенко,Леонід,Олексійович,Чоловік,1940-11-09,Кінокритик,село Краматорськ,"площа Дунаєвського 1-й, буд. 6, Моршин, 81856",291-09-31,klymentartymyshyn@example.net
Гриценко,Ігнат,Олегович,Чоловік,1993-11-14,Професор,село Яготин,"набережна Восьмого березня 5-й, буд. 58 кв. 626, Макіївка, 78643",047 965 28 73,lutsenkoavhustyn@example.net
Штокало,Макар,Михайлович,Чоловік,1988-12-09,Паблік рилейшнз,хутір Арциз,"площа Щоголєва, буд. 92 кв. 5, Липовець, 36859",032 497 04 30,eromanchuk@example.net
Оробець,Остап,Васильович,Чоловік,1949-07-09,Паралегал,місто Іршава,"вулиця Хаджибейський 3-й, буд. 15 кв. 210, Білозерське, 76125",046 106 20 38,riabetsemiliia@example.net
Петрик,Амвросій,Юрійович,Чоловік,1990-08-25,Астрофізик,селище Світлодарськ,"вулиця Водопровідний 3-й, буд. 181, Ківерці, 91001",049 041 08 72,varfolomiibazavluchenko@example.net
Бабиченко,Аарон,Олегович,Чоловік,2004-12-06,Пілот,хутір Кодима,"проспект Степова, буд. 599 кв. 94, Чигирин, 85693",034 628-28-25,skybaspas@example.net
Ірванець,Спас,Степанович,Чоловік,1990-05-17,Економіст,селище Васильків,"сквер Учительський, буд. 5 кв. 8, Чоп, 02479",+380 (69) 892-56-36,demianiukprokhir@example.org
Лукаш,Богдан,Федорович,Чоловік,1941-12-05,Мінералог,хутір Каховка,"набережна Наявний 7-й, буд. 3, Старокостянтинів, 14280",+380 (08) 544-88-94,stefan47@example.net
Гуцуляк,Тарас,Павлович,Чоловік,2004-02-09,Гірничий інженер,хутір Миколаївка ,"набережна Троїцького Миколи, буд. 960, Монастирище, 75951",558 46 33,karpaiarema@example.org
Ребрик,Йосип,Михайлович,Чоловік,1995-09-13,Державний службовець,хутір Молочанськ,"набережна Псковський, буд. 246, Костопіль, 68821",008 797 99 46,irenaiushchenko@example.net
Андріїшин,Нестор,Олексійович,Чоловік,1994-07-02,Астрофізик,місто Каховка,"вулиця Слєпньова, буд. 4, Дубно, 22297",969-37-77,hlib70@example.com
Гайда,Федір,Макарович,Чоловік,1973-08-08,Продюсер,село Скалат,"узвіз Селищний, буд. 8 кв. 4, Новогродівка, 60019",+380 30 591-55-72,oksanalukash@example.com
Шовкопляс,Прохір,Федорович,Чоловік,1981-11-14,Зоолог,селище Джанкой,"вулиця Гладкова, буд. 28, Берестечко, 28793",+380 83 865-41-17,snizhanaatamanchuk@example.net
Абрамчук,Онисим,Федорович,Чоловік,2006-03-08,Музикант,село Глухів,"проспект Красний, буд. 1 кв. 0, Березань , 58283",278 23 39,umakohon@example.net
Макаренко,Пилип,Олегович,Чоловік,1974-04-22,Шериф,селище Старий Крим,"шосе Волзький, буд. 2, Голубівка, 35052",040 114 66 24,drozdserhii@example.org
Верховинець,Франц,Павлович,Чоловік,1959-07-29,Конструктор,місто Збараж,"площа Дніпропетровська дорога, буд. 80 кв. 582, Івано-Франківськ, 07714",+380 86 460-51-95,udemianenko@example.net
Джус,Станіслав,Юрійович,Чоловік,1975-02-06,Мінералог,хутір Баштанка,"вулиця Солонцюватий 1-й, буд. 2 кв. 09, Часів Яр, 20840",065 105-80-71,demyd20@example.org
Франко,Йосип,Олександрович,Чоловік,1980-07-30,Слідчий,селище Павлоград,"парк Зелений, буд. 717 кв. 81, Українськ, 54183",+380 40 501-80-45,pzabashta@example.net
Тягнибок,Симон,Петрович,Чоловік,1954-11-01,Композитор,хутір Коростень,"шосе Проточний, буд. 48, Кадіївка, 87936",086 312 11 45,prokhir83@example.org
Дейсун,Тарас,Богданович,Чоловік,1966-03-17,Нотаріус,селище Докучаєвськ,"набережна Кордонний, буд. 203 кв. 02, Красноград, 02482",984-26-11,panaschubai@example.net
Артюшенко,Онисим,Степанович,Чоловік,1968-07-27,Продюсер,селище Світловодськ,"площа Водопровідний 2-й, буд. 434, Славута, 58141",061 054 58 41,levkozasiadko@example.com
Андрійович,Соломон,Богданович,Чоловік,1947-07-10,Геофізик,місто Полтава,"провулок Восьмого березня 6-й, буд. 19 кв. 759, Чистякове, 77593",+380 49 734-33-78,bohodar45@example.com
Артим,Альберт,Володимирович,Чоловік,1939-10-04,Паблік рилейшнз,селище Білгород-Дністровський,"площа Мічуріна, буд. 501, Бровари, 36355",080 864-83-35,iaroslava23@example.com
Гоголь,Петро,Володимирович,Чоловік,2007-12-17,Шериф,хутір Шахтарськ,"площа Лінія 22-га, буд. 351, Кобеляки, 22722",024 734 28 41,dpushkar@example.com
Цимбал,Григорій,Григорович,Чоловік,2005-09-19,Електромонтажник,селище Кам'янка-Бузька,"провулок Тимірязєва 4-й, буд. 47 кв. 593, Волноваха, 40244",+380 32 323 33 85,okhrimenkoihor@example.org
Жук,Азар,Іванович,Чоловік,1941-11-09,Кінорежисер,селище Старобільськ,"вулиця Західний 1-й, буд. 997, Нова Каховка, 98911",+380 86 423-97-09,pchalenko@example.net
Гречко,Ярослав,Григорович,Чоловік,1965-07-04,Продюсер,село Великі Мости,"площа Лермонтовський 2-й, буд. 00 кв. 2, Батурин, 10852",519-72-12,omelianiukhymenko@example.net
Андрощук,Василь,Вікторович,Чоловік,1989-02-17,Перекладач,хутір Кременчук,"площа Уманська, буд. 11 кв. 376, Нова Одеса, 04507",+380 35 173-26-81,kylymnyktymofii@example.net
Ґерета,Роман,Дмитрович,Чоловік,1960-10-31,Електромонтажник,село Вознесенськ,"узвіз Шевченка, буд. 04 кв. 531, Кодима, 24917",095 244-44-57,ilesyk@example.net
Авраменко,Руслан,Володимирович,Чоловік,2001-02-28,Дантист,місто Костопіль,"вулиця Зої Космодем’янської, буд. 26, Заставна, 47482",+380 14 640 92 75,shmorhunliliia@example.org
